trial,truth,z_A,dec_A,z_B,dec_B,team_UW,team_WCS,team_DSS,team_CF,team_BF
3726,1,0.6560489462955271,1,-0.37344835262178355,0,1,1,1,0,1
3727,0,-0.09073500707509408,0,-0.429646988921373,0,0,0,0,0,0
3728,1,-0.06264955005977846,0,-1.043771889398804,0,0,0,0,0,0
3729,1,-0.10620630749022131,0,0.43081068174919174,1,1,1,1,0,0
3730,1,1.0744294398434193,1,-0.7559260442227392,0,1,1,1,0,1
3731,1,0.5707121908693625,1,-0.780485822925233,0,0,0,0,0,1
3732,1,0.19268608269571963,1,0.29071208990391717,1,1,1,1,1,1
3733,1,0.5172159003023324,1,1.4569722651809354,1,1,1,1,1,1
3734,0,0.9945595078383299,1,0.0404136877397962,1,1,1,1,1,1
3735,1,0.15698159326010747,1,0.9091203861327593,1,1,1,1,1,1
3736,0,-1.0720196132820154,0,-0.5299171799790076,0,0,0,0,0,0
3737,1,-1.107444224662495,0,0.06435973484948249,1,0,0,0,1,0
3738,1,0.557647061842885,1,1.1911406384942356,1,1,1,1,1,1
3739,0,0.05688351124039204,1,-0.9631771623208023,0,0,0,0,0,1
3740,0,0.23619811568086813,1,0.43443415444769584,1,1,1,1,1,1
3741,0,-0.4917823983694674,0,0.8359469389340596,1,1,1,1,0,0
3742,1,1.5558335730808834,1,-0.44138678297577716,0,1,1,1,0,1
3743,1,1.3312304018802419,1,-0.29444549563320777,0,1,1,1,0,1
3744,0,0.5129502296922627,1,-0.9456955064146043,0,0,0,0,0,1
3745,1,1.5843026554775617,1,-1.0669626257534133,0,1,1,1,1,1
3746,0,0.9699781961072512,1,-0.8694027316338577,0,1,1,1,1,1
3747,1,0.4303068334337503,1,1.7014497372195052,1,1,1,1,1,1
3748,0,-1.9270580423615082,0,-1.4455755423353476,0,0,0,0,0,0
3749,0,0.06371874368542019,1,0.9251961086539485,1,1,1,1,1,1
3750,0,0.1805531893227763,1,-0.8334444579530773,0,0,0,0,1,1
3751,1,2.1699953933811393,1,2.514035637102753,1,1,1,1,1,1
3752,0,0.681290356169706,1,-1.0818130653154276,0,0,0,0,0,1
3753,1,2.5454724558645654,1,0.2560180501778403,1,1,1,1,1,1
3754,0,0.01985398032653307,1,-1.3101830651923998,0,0,0,0,0,1
3755,0,-0.3711894080613718,0,-1.0877007735858264,0,0,0,0,0,0
3756,0,-1.9849831213257465,0,0.9381791668583911,1,0,0,0,1,0
3757,0,-0.2919034654859196,0,0.07453668513897987,1,0,0,0,1,0
3758,1,0.04749664312868207,1,1.4288177791774492,1,1,1,1,1,1
3759,0,-0.3884899865675291,0,-1.7155893009900325,0,0,0,0,0,0
3760,1,0.654513186309656,1,1.054828453157915,1,1,1,1,1,1
3761,0,-0.12826641114986503,0,-1.3714433167204712,0,0,0,0,0,0
3762,0,-0.6973307095385106,0,-1.7373185130328528,0,0,0,0,0,0
3763,0,0.3350201907325847,1,-0.16123386114644414,0,1,1,1,1,1
3764,0,-3.323154312875058,0,-0.1714616665885866,0,0,0,0,0,0
3765,1,0.7899935751578444,1,0.45334578629915034,1,1,1,1,1,1
3766,1,1.802489779152562,1,1.1175584126276656,1,1,1,1,1,1
3767,0,1.2700485084562145,1,0.47356631763367696,1,1,1,1,1,1
3768,1,1.3319613383850628,1,1.869729339193701,1,1,1,1,1,1
3769,1,2.2848830225825387,1,-0.7903429983058353,0,1,1,1,0,1
3770,1,0.7689359957587424,1,1.9020162454502247,1,1,1,1,1,1
3771,1,0.602862575927063,1,2.2823114896955765,1,1,1,1,1,1
3772,1,1.1294156432277516,1,0.03376998354796551,1,1,1,1,1,1
3773,1,0.5968057171089349,1,-1.2684916830731763,0,0,0,0,1,1
3774,1,-0.18235746801736064,0,-0.983498913069118,0,0,0,0,0,0
3775,0,-1.1152402441318994,0,-0.8618513809337118,0,0,0,0,0,0
3776,1,-0.5121529060761573,0,2.414141590307422,1,1,1,1,1,0
3777,0,-0.07162290513475533,0,-0.3829199997968213,0,0,0,0,0,0
3778,1,0.6113918125004772,1,-0.21718411675181293,0,1,1,1,0,1
3779,1,0.23971388324190246,1,-0.28540225835729693,0,0,0,0,0,1
3780,0,-1.16668375683729,0,-1.7227223250057913,0,0,0,0,0,0
3781,1,1.1050563461996266,1,1.27457602968039,1,1,1,1,1,1
3782,1,1.3804481806100701,1,0.30793125528091553,1,1,1,1,1,1
3783,0,-1.7305139965051826,0,1.6998295097624325,1,0,0,0,1,0
3784,1,-0.6876846697756177,0,1.0282093964264505,1,1,1,1,0,0
3785,1,1.5545099556210151,1,1.22993631605727,1,1,1,1,1,1
3786,1,-0.7751332384885957,0,0.15789516925732205,1,0,0,0,1,0
3787,0,-0.05251316617751556,0,-1.4910303381734882,0,0,0,0,0,0
3788,0,1.0169091987540133,1,-1.2735809803291802,0,0,0,0,1,1
3789,1,2.2192348033931344,1,-0.9692469438890817,0,1,1,1,0,1
3790,0,0.13787259063209167,1,0.5103947198180909,1,1,1,1,1,1
3791,0,0.10880951532212069,1,-0.7849151872458864,0,0,0,0,1,1
3792,0,1.6519074501964548,1,0.5525005395920662,1,1,1,1,1,1
3793,0,-2.934395662893771,0,-0.26408559769243645,0,0,0,0,0,0
3794,1,0.1356643239193649,1,0.10718164422955406,1,1,1,1,1,1
3795,1,1.4484918490766014,1,-0.7696028349685499,0,1,1,1,0,1
3796,1,0.26271299215804295,1,0.7016327329626777,1,1,1,1,1,1
3797,1,1.8397783086070345,1,0.18136698355320502,1,1,1,1,1,1
3798,0,-0.6393540603101926,0,0.5021839279554212,1,0,0,0,0,0
3799,0,-0.4682561396624024,0,-1.1154106758755986,0,0,0,0,0,0
3800,0,-0.8746746642459376,0,0.21610777349703614,1,0,0,0,1,0
3801,0,-1.1225109588080606,0,1.240848416222537,1,1,1,1,1,0
3802,0,-1.1471099631476518,0,-0.12744408534028034,0,0,0,0,0,0
3803,0,-0.3288337031632237,0,0.38529145274188126,1,1,1,1,0,0
3804,0,-1.374564965822867,0,0.17189024617757942,1,0,0,0,0,0
3805,0,0.35320488349128754,1,1.4980914845175217,1,1,1,1,1,1
3806,1,1.2532259246028232,1,0.7715604216938288,1,1,1,1,1,1
3807,1,1.6994164409698405,1,1.0999588517355101,1,1,1,1,1,1
3808,1,-0.5289243559929987,0,0.36372397148404334,1,0,0,0,0,0
3809,1,-1.0994765467864438,0,-0.3743885356827591,0,0,0,0,0,0
3810,1,0.5958142443682365,1,-0.8081756856811689,0,0,0,0,1,1
3811,0,2.298800613559521,1,0.8669240656366749,1,1,1,1,1,1
3812,1,1.8662087780945704,1,-0.60835937134254,0,1,1,1,0,1
3813,0,-1.1544463085067131,0,0.34586449978343214,1,0,0,0,1,0
3814,0,-0.17548786556865897,0,0.01601663038376161,1,0,0,0,1,0
3815,0,0.12758690744368362,1,0.5177853448957316,1,1,1,1,1,1
3816,0,-1.9683882407328612,0,-0.9147120225832186,0,0,0,0,0,0
3817,0,0.7696258690346048,1,-1.1907299144832106,0,0,0,0,1,1
3818,1,0.43257587317905927,1,0.7783718380997575,1,1,1,1,1,1
3819,1,0.5093191553921397,1,0.10765832679248677,1,1,1,1,1,1
3820,1,0.6237846594338556,1,-0.8310283366062782,0,0,0,0,1,1
3821,1,1.7445401393078948,1,2.338525542340346,1,1,1,1,1,1
3822,1,-0.15518215820140802,0,-0.39140816596254524,0,0,0,0,0,0
3823,0,-2.306970004784452,0,-1.3936327119850145,0,0,0,0,0,0
3824,1,0.9229552929000444,1,0.15786423182062245,1,1,1,1,1,1
3825,1,-1.4436580861731287,0,1.6528585691579138,1,1,1,1,1,0
3826,0,-0.9011035951355401,0,-2.5667350431236162,0,0,0,0,0,0
3827,0,0.5868742898588183,1,0.7698836145754492,1,1,1,1,1,1
3828,1,1.1790939035087382,1,-0.511473501456303,0,1,1,1,0,1
3829,1,1.6423560657252758,1,0.6645252401082543,1,1,1,1,1,1
3830,0,0.020351365202828986,1,-1.0760069617238006,0,0,0,0,1,1
3831,1,3.0103344887834083,1,2.391916854002006,1,1,1,1,1,1
3832,0,-1.188239627656815,0,-0.27537991335764855,0,0,0,0,0,0
3833,0,-0.20186832299167667,0,-1.108091550341236,0,0,0,0,0,0
3834,0,-1.0381204712126504,0,-0.7010913218376905,0,0,0,0,0,0
3835,0,0.35680126991487093,1,-0.3103629250983126,0,1,1,1,1,1
3836,1,0.538425123949504,1,0.5776766077622006,1,1,1,1,1,1
3837,0,1.1188448794440453,1,0.03876248352132072,1,1,1,1,1,1
3838,1,0.06918404459802352,1,0.3985953923176851,1,1,1,1,1,1
3839,0,0.8071265257169843,1,-1.777162416608716,0,0,0,0,0,1
3840,1,1.193139530543971,1,0.05973232909833914,1,1,1,1,1,1
3841,1,0.5675389309130194,1,1.0066583748408586,1,1,1,1,1,1
3842,1,1.1424423378599244,1,-0.26988280637900086,0,1,1,1,0,1
3843,1,0.8612643875291922,1,1.0727812796983776,1,1,1,1,1,1
3844,1,0.95595468025181,1,0.4317181329578103,1,1,1,1,1,1
3845,1,0.3931289269056091,1,0.18225984323351022,1,1,1,1,1,1
3846,1,-0.10158850755499138,0,1.5941438925395923,1,1,1,1,1,0
3847,1,0.2649288800374694,1,-1.3381314443842816,0,0,0,0,0,1
3848,0,-2.2831449779482225,0,-1.0753208982646494,0,0,0,0,0,0
3849,0,0.2419483325326256,1,0.8324287096787758,1,1,1,1,1,1
3850,0,-1.8351639721754798,0,1.4300491631535341,1,0,0,0,1,0
3851,0,-0.8176470552356996,0,1.8859924846717004,1,1,1,1,0,0
3852,0,0.04804504148103317,1,-0.34964446966169616,0,0,0,0,1,1
3853,0,0.23939671709991128,1,0.05789737961554292,1,1,1,1,1,1
3854,1,-1.1746519368372388,0,1.217427827235667,1,1,1,1,1,0
3855,0,-0.6918480752250777,0,0.8750752721582841,1,1,1,1,1,0
3856,1,1.059744699448822,1,0.7130919346747613,1,1,1,1,1,1
3857,0,-0.5479838907376732,0,0.5261489234460668,1,0,0,0,0,0
3858,1,1.9440749576735445,1,0.859773800444522,1,1,1,1,1,1
3859,0,-1.4218068999146023,0,0.12222394190837638,1,0,0,0,0,0
3860,0,-2.649041130190197,0,-1.31836923690008,0,0,0,0,0,0
3861,0,0.21032601676852125,1,-0.729213719376224,0,0,0,0,0,1
3862,1,0.06291388038151235,1,-0.1227691980778195,0,0,0,0,1,1
3863,0,-2.358540597585998,0,-1.5888954535785218,0,0,0,0,0,0
3864,1,0.44148760943352616,1,-1.2516052242109152,0,0,0,0,1,1
3865,0,0.6305579759317014,1,-0.8236274985921486,0,0,0,0,0,1
3866,1,-0.6632526178126982,0,0.13611767356374038,1,0,0,0,1,0
3867,0,1.7359959539472674,1,-0.294962923972158,0,1,1,1,0,1
3868,1,-0.2378815945366619,0,0.9557378408401406,1,1,1,1,1,0
3869,0,-0.5129891458742502,0,-0.21187775639417783,0,0,0,0,0,0
3870,0,-1.8191324178476083,0,-0.6569111775305763,0,0,0,0,0,0
3871,0,-0.5583896513039858,0,-1.315126315776875,0,0,0,0,0,0
3872,0,-0.7337478217586769,0,0.47706909750121784,1,0,0,0,0,0
3873,0,-2.0894939023310872,0,-0.5018222172894014,0,0,0,0,0,0
3874,1,3.42582696895091,1,-0.033789795006909484,0,1,1,1,1,1
3875,0,-1.0953371690186946,0,-0.5864542824132692,0,0,0,0,0,0
3876,0,-1.0944625573060285,0,-1.1327443473547079,0,0,0,0,0,0
3877,1,1.5690358793536543,1,-0.1306739234111065,0,1,1,1,0,1
3878,0,1.214254883348469,1,-0.962458313290188,0,1,1,1,1,1
3879,0,0.5264368680043029,1,-0.6873374180004687,0,0,0,0,0,1
3880,1,-0.6011801230265864,0,1.05575495681809,1,1,1,1,1,0
3881,1,0.8139090094946627,1,0.8071120685406081,1,1,1,1,1,1
3882,1,-1.2813724823849948,0,1.946737407280784,1,1,1,1,1,0
3883,0,0.3017050813223565,1,0.8117290921120087,1,1,1,1,1,1
3884,1,-1.035188138530462,0,2.3564217732345756,1,1,1,1,1,0
3885,0,-1.4032013236092369,0,0.1591584796708293,1,0,0,0,0,0
3886,1,0.5967984959686893,1,0.9431052223735306,1,1,1,1,1,1
3887,1,1.0450065611410122,1,-0.0874157776371357,0,1,1,1,0,1
3888,1,0.3390653766046809,1,1.2260148974954985,1,1,1,1,1,1
3889,0,0.9190836767328817,1,-1.0561169300430895,0,0,0,0,1,1
3890,0,0.12323958219227937,1,-1.8704555243815784,0,0,0,0,1,1
3891,1,1.2447247540642086,1,1.9263233922477547,1,1,1,1,1,1
3892,1,-0.6294009019846637,0,-0.8491815946326714,0,0,0,0,0,0
3893,1,2.2993678975454026,1,0.8388517895955985,1,1,1,1,1,1
3894,1,-0.20306514427851163,0,-0.48033137283336225,0,0,0,0,0,0
3895,1,2.337542432987094,1,1.5266676227918339,1,1,1,1,1,1
3896,0,1.4221950569255712,1,0.8629499857706958,1,1,1,1,1,1
3897,0,-0.08734346763622491,0,0.12917780742318596,1,1,1,1,1,0
3898,0,0.43201309767942087,1,0.8463647094761991,1,1,1,1,1,1
3899,0,-3.682919763056869,0,-0.39266292416887705,0,0,0,0,0,0
3900,0,-0.7950024154903774,0,1.8341746808260502,1,1,1,1,1,0
3901,1,1.7021656399195395,1,1.1461652334929076,1,1,1,1,1,1
3902,1,1.5245102683140845,1,-0.5005515596236932,0,1,1,1,1,1
3903,1,-0.6197233380998776,0,0.469606708744139,1,0,0,0,1,0
3904,0,-0.8937220398678738,0,-0.552502026215068,0,0,0,0,0,0
3905,1,-1.9363655052011466,0,0.1495759415623391,1,0,0,0,1,0
3906,1,1.0129928401727535,1,-1.257139227899207,0,0,0,0,0,1
3907,1,-1.2833284012268238,0,0.7868645444434601,1,0,0,0,0,0
3908,1,1.7304778427875718,1,-0.9857529789405525,0,1,1,1,1,1
3909,1,1.7827248607174089,1,-2.1254072805223836,0,0,0,0,1,1
3910,1,0.12563318559350134,1,0.055986358876695785,1,1,1,1,1,1
3911,0,-0.07872406954591149,0,-1.1558936533922377,0,0,0,0,0,0
3912,1,0.38290127593949147,1,-0.46153701263555325,0,0,0,0,0,1
3913,0,-0.3580916049851338,0,-3.503095950365521,0,0,0,0,0,0
3914,0,-1.74725942324315,0,-1.2508428759530483,0,0,0,0,0,0
3915,0,0.022492623239909304,1,-0.5736418651727023,0,0,0,0,0,1
3916,1,-1.0411852302244164,0,-0.2341539400960937,0,0,0,0,0,0
3917,1,-1.229930162329382,0,0.7873436762533315,1,0,0,0,1,0
3918,1,0.4780716833330081,1,1.7926606484755627,1,1,1,1,1,1
3919,0,-0.8112432796112795,0,0.11636744025517509,1,0,0,0,1,0
3920,0,-0.32769826944824954,0,0.6263942941019852,1,1,1,1,0,0
3921,1,-0.049507490236328944,0,1.5091266896484483,1,1,1,1,0,0
3922,0,1.2856916657855892,1,-1.4188607670667128,0,0,0,0,0,1
3923,1,0.760604989379442,1,0.839114692686195,1,1,1,1,1,1
3924,0,-0.36711822148377454,0,0.595157353365466,1,1,1,1,0,0
3925,1,0.7972338774070455,1,-0.03596047804847924,0,1,1,1,1,1
3926,1,1.6029098689480779,1,-0.3906266500302912,0,1,1,1,1,1
3927,1,1.1760174144844644,1,0.930406459216443,1,1,1,1,1,1
3928,0,-0.15798210029172072,0,-1.881628871787679,0,0,0,0,0,0
3929,1,1.3359841048655907,1,-0.688004583066293,0,1,1,1,1,1
3930,1,-1.2246146370471913,0,-0.26675634758343325,0,0,0,0,0,0
3931,1,-1.1868476505857775,0,0.8505142131307084,1,0,0,0,1,0
3932,1,0.5239412546985561,1,0.6189125215556645,1,1,1,1,1,1
3933,0,-0.7976738826819021,0,0.6323708795521318,1,0,0,0,1,0
